judul,caption,hashtag,kategori,platform,tanggal
"teknologi china tercanggih di dunia
#teknologicanggih
#tekno","teknologi china tercanggih di dunia
#teknologicanggih
#teknologichina
#technology
#teknologiterbaru
#teknologiterkini",#teknologicanggih #teknologichina #technology #teknologiterbaru #teknologiterkini,Tech & Gadget,TikTok,2026-01-25
Tiongkok secara agresif mengembangkan teknologi Meriam Elekt,"Tiongkok secara agresif mengembangkan teknologi Meriam Elektromagnetik (Railgun) dan sistem Hipersonik, dengan tujuan menciptakan senjata yang mampu meluncurkan proyektil dengan kecepatan ekstrem, jauh melebihi Mach 5. Program ini mencakup pengujian prototipe railgun yang dipasang di kapal angkatan laut, serta penelitian mendalam pada material dan kendaraan luncur hipersonik, menempatkan Tiongkok di garis depan dalam perlombaan teknologi yang berpotensi merevolusi peperangan dan juga eksplorasi luar angkasa.",,Tech & Gadget,TikTok,2026-01-25
"😲😲wow, OMG!!#fyp #foryou #cnc #machine #technology #mold #am","😲😲wow, OMG!!#fyp #foryou #cnc #machine #technology #mold #amazing #interesting #perfect",#fyp #foryou #cnc #machine #technology #mold #amazing #interesting #perfect,Tech & Gadget,TikTok,2026-01-25
"Kapan kamu tahu inovasi sekeren ini?
#fypppppppppppppppppppp","Kapan kamu tahu inovasi sekeren ini?
#fyppppppppppppppppppppppp",#fyppppppppppppppppppppppp,Tech & Gadget,TikTok,2026-01-25
"Video ini bukan asli sama sekali bro
Semua Ini hasil teknolo","Video ini bukan asli sama sekali bro
Semua Ini hasil teknologi AI yang kelihatan natural, berawal dari sebuah gambar lalu gua ketikkan prompt jadi deh video sekeren ini, cukup modal hp dan AI doang. #ai #veo3 #belajarai #Kontenai #cuanburuhai",#ai #veo3 #belajarai #kontenai #cuanburuhai,Tech & Gadget,TikTok,2026-01-25
"Semua teknologi, device, dan alat-alat tercanggih dan terino","Semua teknologi, device, dan alat-alat tercanggih dan terinovatif dapat kamu temukan di CES 2025!🤖

Aku rangkum semuanya di video ini, follow @theresalearns! 🔥

#ces2025 #inovatif #innovative #technology #teknologi #virtualreality #augmentedreality #innovation",#ces2025 #inovatif #innovative #technology #teknologi #virtualreality #augmentedreality #innovation,Tech & Gadget,TikTok,2026-01-25
🚀 Industri Pertahanan Indonesia – Pabrik Rudal Canggih Karya,"🚀 Industri Pertahanan Indonesia – Pabrik Rudal Canggih Karya Anak Bangsa 🇮🇩
#technology #TeknologiIndonesia #IndustriPertahanan #InovasiIndonesia #KaryaAnakBangsa #TeknologiMaju #EngineeringID #BanggaBuatanIndonesia #tni #military",#technology #teknologiindonesia #industripertahanan #inovasiindonesia #karyaanakbangsa #teknologimaju #engineeringid #banggabuatanindonesia #tni #military,Tech & Gadget,TikTok,2026-01-25
"ROBOT AKAN MENGGANTIKAN PEKERJAAN MANUSIA‼️
-
#optimus #robo","ROBOT AKAN MENGGANTIKAN PEKERJAAN MANUSIA‼️
-
#optimus #robotcanggih #optimustesla #elonmusk #teknologi #robottesla #Ai #robot #robotserbaguna
-
#Faktamenarik #informasi #unik #Tempatnyahalunik #viral #fyp
-
#Respectcode #Rcode #RTC",#optimus #robotcanggih #optimustesla #elonmusk #teknologi #robottesla #ai #robot #robotserbaguna #faktamenarik #informasi #unik #tempatnyahalunik #viral #fyp #respectcode #rcode #rtc,Tech & Gadget,TikTok,2026-01-25
Alat Canggih Ini Bisa Menjaring Sekaligus Menyetrum #teknolo,Alat Canggih Ini Bisa Menjaring Sekaligus Menyetrum #teknologicanggih #alatcanggih #tiktok,#teknologicanggih #alatcanggih #tiktok,Tech & Gadget,TikTok,2026-01-25
china berhasil membuat wajah palsu #funny #shorts #reels #fa,china berhasil membuat wajah palsu #funny #shorts #reels #faktaunik #viral,#funny #shorts #reels #faktaunik #viral,Tech & Gadget,TikTok,2026-01-25
ALAT NGOBROL AI🤖🤖 #viral #electro #fyp #indonesia #teknologi,ALAT NGOBROL AI🤖🤖 #viral #electro #fyp #indonesia #teknologi,#viral #electro #fyp #indonesia #teknologi,Tech & Gadget,TikTok,2026-01-25
Kearifan teknologi lokal #creative #teknoloji #inovation #wa,Kearifan teknologi lokal #creative #teknoloji #inovation #water #videoviral #fypage #foryou #trending #masukfyp #bathroom #faucet,#creative #teknoloji #inovation #water #videoviral #fypage #foryou #trending #masukfyp #bathroom #faucet,Tech & Gadget,TikTok,2026-01-25
"🏺🏺
#hebat #teknologi #mesin #canggih #kerajinantanahliat #he","🏺🏺
#hebat #teknologi #mesin #canggih #kerajinantanahliat #hebat #fyp #fypシ゚viral #trending #capcut #keren #mesin #fyppppppppppppppppppppppp",#hebat #teknologi #mesin #canggih #kerajinantanahliat #hebat #fyp #fypシ #trending #capcut #keren #mesin #fyppppppppppppppppppppppp,Tech & Gadget,TikTok,2026-01-25
CT Scanner memiliki kecepatan rotasi yang bervariasi tergant,"CT Scanner memiliki kecepatan rotasi yang bervariasi tergantung pada model dan teknologi yang digunakan. CT Scanner multi-slice modern biasanya dapat menyelesaikan rotasi penuh 360 derajat dalam waktu sekitar 0,25 hingga 0,5 detik.

Sistem kelas atas, terutama yang digunakan untuk pencitraan jantung, dapat mencapai kecepatan rotasi yang lebih tinggi, sekitar 0,2 detik per rotasi.",,Tech & Gadget,TikTok,2026-01-25
"Tatanan Dunia Baru, Sedang Dimulai 📊📈✅

Teknologi baru selal","Tatanan Dunia Baru, Sedang Dimulai 📊📈✅

Teknologi baru selalu menawarkan sesuatu yang luar biasa, pertanyaannya apakah kita siap untuk hal itu ?
Harus mulai dari mana ?
Kapan dimulainya ?

Yang pasti, era baru akan terjadi. Jika tidak bisa mengikutinya, silahkan sembunyi di balik kemalasan 🚀",,Tech & Gadget,TikTok,2026-01-25
"Transformers Astrotrain
#ai
#mechanic
#transformers
#giants","Transformers Astrotrain
#ai
#mechanic
#transformers
#giants",#ai #mechanic #transformers #giants,Tech & Gadget,TikTok,2026-01-25
sungguh sangat canggih teknologi sekarang #barangunik #alatu,sungguh sangat canggih teknologi sekarang #barangunik #alatunik,#barangunik #alatunik,Tech & Gadget,TikTok,2026-01-25
Robot ini bisa memanjang seperti ular… tapi untuk apa sebena,Robot ini bisa memanjang seperti ular… tapi untuk apa sebenarnya robot ini digunakan? #kamuharustau #information #teknologi #foryou,#kamuharustau #information #teknologi #foryou,Tech & Gadget,TikTok,2026-01-25
#teknologi #inovasi #kreatif #wow #infrastruktur,#teknologi #inovasi #kreatif #wow #infrastruktur,#teknologi #inovasi #kreatif #wow #infrastruktur,Tech & Gadget,TikTok,2026-01-25
"#CapCut
Ringkasan Berita Para insinyur di Finlandia berhasil","#CapCut
Ringkasan Berita Para insinyur di Finlandia berhasil mengembangkan teknologi yang memungkinkan pengiriman listrik melalui udara tanpa kabel, mirip dengan sinyal Wi-Fi. Teknologi ini menggunakan medan elektromagnetik untuk mentransfer energi ke perangkat yang dilengkapi alat penerima khusus, dengan fokus pada perangkat kecil seperti sensor pintar dan perangkat IoT. Meski memiliki potensi besar untuk mengurangi limbah elektronik dan menyederhanakan pengisian daya, teknologi ini masih menghadapi tantangan dalam efisiensi energi, jangkauan, dan keamanan sebelum dapat digunakan secara luas.",#capcut,Tech & Gadget,TikTok,2026-01-25
iNews Media Group membuktikan diri sebagai media terdepan ya,"iNews Media Group membuktikan diri sebagai media terdepan yang selalu mengikuti perkembangan teknologi terkini. iNews Media Group mengimplementasikan dua produk terbaru berbasis teknologi kecerdasan buatan atau Artificial Intelligence (AI). KPJ

@praburevolusi",,Tech & Gadget,TikTok,2026-01-25
He built a mini water dispenser 💧 using just a carton and a ,"He built a mini water dispenser 💧 using just a carton and a plastic bottle! Pure creativity — no fancy tools, just innovation and skill. #HandmadeTechnology #DIYProjects #TechInnovation #CreativeEngineer #UpcycledArt",#handmadetechnology #diyprojects #techinnovation #creativeengineer #upcycledart,Tech & Gadget,TikTok,2026-01-25
"carregador de entada USB caseiro manual.

#tecnologia #intel","carregador de entada USB caseiro manual.

#tecnologia #inteligencia #ideias #criatividade #gerador #capcup #motor #USB #bateria",#tecnologia #inteligencia #ideias #criatividade #gerador #capcup #motor #usb #bateria,Tech & Gadget,TikTok,2026-01-25
everything’s u are #masukberanda #fyp #coding #liriklagu #py,everything’s u are #masukberanda #fyp #coding #liriklagu #python,#masukberanda #fyp #coding #liriklagu #python,Tech & Gadget,TikTok,2026-01-25
"Ternyata kita ga selalu harus jadi yang paling jago

Ep 4 - ","Ternyata kita ga selalu harus jadi yang paling jago

Ep 4 - Ini yang aku lakukan kalau bisa belajar koding lagi dari 0

Mau tau juga dong cerita2 kalian pas belajar koding!

#WarungWhy",#warungwhy,Tech & Gadget,TikTok,2026-01-25
Urutan Belajar Coding? Cek Websitenya yagesya #belajarcoding,Urutan Belajar Coding? Cek Websitenya yagesya #belajarcoding #python #informatika,#belajarcoding #python #informatika,Tech & Gadget,TikTok,2026-01-25
gak semua orang yang bisa coding itu hacker ya😇 #fyp #coding,gak semua orang yang bisa coding itu hacker ya😇 #fyp #coding #codinglife #programmer #sisteminformasi,#fyp #coding #codinglife #programmer #sisteminformasi,Tech & Gadget,TikTok,2026-01-25
I always thought coding was kinda boring—until I found this ,"I always thought coding was kinda boring—until I found this site that actually makes it fun. If you’ve ever wanted to learn but felt overwhelmed, this is a game-changer.

Yeah, tech can seem intimidating at first, but if you like a good challenge, you’ll never be bored. That first time you get your code to work? It’s a feeling you won’t forget.",,Tech & Gadget,TikTok,2026-01-25
Hadehhhhh 😤 #programer #coding,Hadehhhhh 😤 #programer #coding,#programer #coding,Tech & Gadget,TikTok,2026-01-25
"🩵

#coding #teknikinformatika #love #bucin #htmlcss","🩵

#coding #teknikinformatika #love #bucin #htmlcss",#coding #teknikinformatika #love #bucin #htmlcss,Tech & Gadget,TikTok,2026-01-25
"jasa pembuatan website!!
#coding #programmer #webdeveloper #","jasa pembuatan website!!
#coding #programmer #webdeveloper #sisteminformasi #teknikinformatika",#coding #programmer #webdeveloper #sisteminformasi #teknikinformatika,Tech & Gadget,TikTok,2026-01-25
"waduh^^
#anakit #fyp #foryou #ngoding #softwareengineer","waduh^^
#anakit #fyp #foryou #ngoding #softwareengineer",#anakit #fyp #foryou #ngoding #softwareengineer,Tech & Gadget,TikTok,2026-01-25
"kebiasaan ai gem**i!
#coding #programmer #webdeveloper #sist","kebiasaan ai gem**i!
#coding #programmer #webdeveloper #sisteminformasi #teknikinformatika",#coding #programmer #webdeveloper #sisteminformasi #teknikinformatika,Tech & Gadget,TikTok,2026-01-25
Trabas 2 project 🤒😎 #programer #coding,Trabas 2 project 🤒😎 #programer #coding,#programer #coding,Tech & Gadget,TikTok,2026-01-25
"Bisakah kita ngoding cuma lewat hp aja??

#education #mahasi","Bisakah kita ngoding cuma lewat hp aja??

#education #mahasiswa #student #belajar",#education #mahasiswa #student #belajar,Tech & Gadget,TikTok,2026-01-25
"raindance robotic hand dance, adding screen still on progres","raindance robotic hand dance, adding screen still on progress. python x arduino ide, esp32 #robotics #engineering #arduino #humanoid #coding",#robotics #engineering #arduino #humanoid #coding,Tech & Gadget,TikTok,2026-01-25
"2025 udah nggak zaman ngoding manual bos, udah waktunya manf","2025 udah nggak zaman ngoding manual bos, udah waktunya manfaatin AI 🤫🫵🏻

#coding #programmer #ai #blackbox #website",#coding #programmer #ai #blackbox #website,Tech & Gadget,TikTok,2026-01-25
"don't give up on coding, keep learning #codingtiktok #learnc","don't give up on coding, keep learning #codingtiktok #learncoding #developerlife #programminglife",#codingtiktok #learncoding #developerlife #programminglife,Tech & Gadget,TikTok,2026-01-25
Coding untuk anak usia 5+ TK paud #codingforkids #coding,Coding untuk anak usia 5+ TK paud #codingforkids #coding,#codingforkids #coding,Tech & Gadget,TikTok,2026-01-25
"Biar ngucapin selamat ulang tahun ngga gitu gitu aja, lo jug","Biar ngucapin selamat ulang tahun ngga gitu gitu aja, lo juga bisa bikin yang lain pakai tools ini 🛠️ #fyppppppppppppppppppppppp #coding #aicoding",#fyppppppppppppppppppppppp #coding #aicoding,Tech & Gadget,TikTok,2026-01-25
20$/bulan = 1000$/project #coding #programming #visualstudio,20$/bulan = 1000$/project #coding #programming #visualstudiocode #codinglife #fyp,#coding #programming #visualstudiocode #codinglife #fyp,Tech & Gadget,TikTok,2026-01-25
Nahh kalau gini kan Rapi #fyp #coding #mood #codinglife #ful,Nahh kalau gini kan Rapi #fyp #coding #mood #codinglife #fullstackdeveloper,#fyp #coding #mood #codinglife #fullstackdeveloper,Tech & Gadget,TikTok,2026-01-25
"Halo Jagad, Kabeh Wong 🙌

#programming #programmer #hellowor","Halo Jagad, Kabeh Wong 🙌

#programming #programmer #helloworld #coding",#programming #programmer #helloworld #coding,Tech & Gadget,TikTok,2026-01-25
#fyp #4uu #masukberanda #fypageシ #coding #informatica,#fyp #4uu #masukberanda #fypageシ #coding #informatica,#fyp #4uu #masukberanda #fypageシ #coding #informatica,Tech & Gadget,TikTok,2026-01-25
Flutter still awesome for creating multi platform apps #fyp ,Flutter still awesome for creating multi platform apps #fyp #coding #flutter #programming,#fyp #coding #flutter #programming,Tech & Gadget,TikTok,2026-01-25
Software Engineer #codingtiktok #developerlife #compsci #sof,Software Engineer #codingtiktok #developerlife #compsci #softwaredevelopment,#codingtiktok #developerlife #compsci #softwaredevelopment,Tech & Gadget,TikTok,2026-01-25
"h-2 uas
#ngoding #sisteminformasi #fullstack #fullstackdevel","h-2 uas
#ngoding #sisteminformasi #fullstack #fullstackdeveloper",#ngoding #sisteminformasi #fullstack #fullstackdeveloper,Tech & Gadget,TikTok,2026-01-25
hand sign language by Python #handgesture #python #ngoding #,hand sign language by Python #handgesture #python #ngoding #codinglife #informatika,#handgesture #python #ngoding #codinglife #informatika,Tech & Gadget,TikTok,2026-01-25
"yeah yeah yeahh…💀

#coding #fyp #trending #error #prgramming","yeah yeah yeahh…💀

#coding #fyp #trending #error #prgramming",#coding #fyp #trending #error #prgramming,Tech & Gadget,TikTok,2026-01-25
"""💻 Coding itu kerja apa, sih? 🤔 Yuk, aku kasih contoh nyata:","""💻 Coding itu kerja apa, sih? 🤔 Yuk, aku kasih contoh nyata: bikin aplikasi tiket pesawat! ✈️ Mulai dari diskusi dengan klien, desain aplikasi, sampai coding fitur kayak pencarian tiket dan pembayaran online. Seru banget, kan? 🚀

Coding itu lebih dari sekadar ngetik kode, kita menciptakan solusi lewat teknologi yang dipakai banyak orang. Mau belajar coding juga? Yuk, mulai sekarang!",,Tech & Gadget,TikTok,2026-01-25
"Simple Coding Untuk Anak Usia 3-5 tahun :
1. Mewarnai sesuai","Simple Coding Untuk Anak Usia 3-5 tahun :
1. Mewarnai sesuai bentuk
2. Menulis angka sesuai bentuk
3. Mewarnai dadi sesuai angka
4. Mewarnai dan menulis angka
5. Mewarnai bentuk

selamat mencoba

#edukasi #worksheet #coding #produkdigital #belajarseru",#edukasi #worksheet #coding #produkdigital #belajarseru,Tech & Gadget,TikTok,2026-01-25
ga JJ ga asik#CapCut #coding #visualstudiocode #teknologiinf,ga JJ ga asik#CapCut #coding #visualstudiocode #teknologiinformasi #mobiledeveloper #html #php #codinglife,#capcut #coding #visualstudiocode #teknologiinformasi #mobiledeveloper #html #php #codinglife,Tech & Gadget,TikTok,2026-01-25
pendeteksi barang hilang 👀💻#phyton #vscode #ngoding #codingl,pendeteksi barang hilang 👀💻#phyton #vscode #ngoding #codinglife,#phyton #vscode #ngoding #codinglife,Tech & Gadget,TikTok,2026-01-25
FYI lowongan kerja Remote untuk posisi UIUX juga banyak lho.,"FYI lowongan kerja Remote untuk posisi UIUX juga banyak lho...

#lokerwfh #uiuxdesignindo",#lokerwfh #uiuxdesignindo,Tech & Gadget,TikTok,2026-01-25
Cara buat animasi keren di Figma #uiux #uiuxdesignindo #uiux,Cara buat animasi keren di Figma #uiux #uiuxdesignindo #uiuxdesign,#uiux #uiuxdesignindo #uiuxdesign,Tech & Gadget,TikTok,2026-01-25
figma tutorial for beginner: cukup 1 desain untuk semua #fig,figma tutorial for beginner: cukup 1 desain untuk semua #figma #tutorial #prototype #uiux #design,#figma #tutorial #prototype #uiux #design,Tech & Gadget,TikTok,2026-01-25
"Hi guys, automation gak jalan 😞 toolsnya bisa download di si","Hi guys, automation gak jalan 😞 toolsnya bisa download di sini ya sleek.design 🔥

Tools AI terbaru membantu kita vibe ui ux design hanya menggunakan prompt, hasil design bisa di export ke html css ataupun juga react js 🤯

File design juga dapat di copy ke figma agar kita dapat modifikasi sesuai kebutuhan projek freelance sebagai full stack designer developer 💪🏻",,Tech & Gadget,TikTok,2026-01-25
"Sederhana tapi bikin front-end 😵‍💫🔥😭

#figmaprototype #proto","Sederhana tapi bikin front-end 😵‍💫🔥😭

#figmaprototype #prototype #uiux #mobiledesign #figmadesign #design #designapp #app #uxdesign #CapCut",#figmaprototype #prototype #uiux #mobiledesign #figmadesign #design #designapp #app #uxdesign #capcut,Tech & Gadget,TikTok,2026-01-25
portfolio unlocked and ready for the next chapter🔓 #portfoli,portfolio unlocked and ready for the next chapter🔓 #portfolio #design #graphicdesign #uiux,#portfolio #design #graphicdesign #uiux,Tech & Gadget,TikTok,2026-01-25
UI/UX Design Apakah mulai digantikan Ai atau mempermudah?🗿#f,UI/UX Design Apakah mulai digantikan Ai atau mempermudah?🗿#fypシ゚ #designuiux #programmer,#fypシ #designuiux #programmer,Tech & Gadget,TikTok,2026-01-25
UI/UX design tips for absolute beginners 👌 #ux #uiux #design,UI/UX design tips for absolute beginners 👌 #ux #uiux #design #figma #uidesign #fyp #foryou #foryoupage #,#ux #uiux #design #figma #uidesign #fyp #foryou #foryoupage,Tech & Gadget,TikTok,2026-01-25
Suka ngide emang anak ui/ux #ngoding #uiux #codinglife,Suka ngide emang anak ui/ux #ngoding #uiux #codinglife,#ngoding #uiux #codinglife,Tech & Gadget,TikTok,2026-01-25
dulu aku juga bingung gais gimana cara belajar ui/ux sendiri,"dulu aku juga bingung gais gimana cara belajar ui/ux sendiri, tapi yg lebih penting niatnya, selagi ada niat pasti ada jalannya😊 semangatt
*fake project gais yg bener😭
#uiuxdesign #uiux #uiuxdesigner #designer #liburancheck",#uiuxdesign #uiux #uiuxdesigner #designer #liburancheck,Tech & Gadget,TikTok,2026-01-25
"Bukan UI/UX Designer palsu 🙏🏻

#uiuxdesigner #productdesign ","Bukan UI/UX Designer palsu 🙏🏻

#uiuxdesigner #productdesign #figma #UXdesign #uiux #foryou #designtok #dayinmylife #fyp #DesignInspo",#uiuxdesigner #productdesign #figma #uxdesign #uiux #foryou #designtok #dayinmylife #fyp #designinspo,Tech & Gadget,TikTok,2026-01-25
"Gedebag gedebug 🙂🤯
Pas lihat hasilnya uuuulala💗

#uiuxdesign","Gedebag gedebug 🙂🤯
Pas lihat hasilnya uuuulala💗

#uiuxdesigner #uiuxdesign #fypage #fypシ #prototype #figma #animation #uiux",#uiuxdesigner #uiuxdesign #fypage #fypシ #prototype #figma #animation #uiux,Tech & Gadget,TikTok,2026-01-25
Ketika desain UI/UX menjadi sebuah pengalaman interaktif yan,"Ketika desain UI/UX menjadi sebuah pengalaman interaktif yang sesungguhnya.

#datanerve #AI #WebDesign #Technology #UIUX #Glassmorphism #InteractiveDesign #LandingPage #DesignInspiration #FutureOfWeb #SaaS #MotionDesign #Tecnologia",#datanerve #ai #webdesign #technology #uiux #glassmorphism #interactivedesign #landingpage #designinspiration #futureofweb #saas #motiondesign #tecnologia,Tech & Gadget,TikTok,2026-01-25
"baru pemula bang 🙏🏻😲
#designer #pemula #figma #uiux","baru pemula bang 🙏🏻😲
#designer #pemula #figma #uiux",#designer #pemula #figma #uiux,Tech & Gadget,TikTok,2026-01-25
"Suka UI UX karna jago desain ✖️,
Suka UI UX Karna gapinter n","Suka UI UX karna jago desain ✖️,
Suka UI UX Karna gapinter ngoding✅

#uiux #uidesign #figma",#uiux #uidesign #figma,Tech & Gadget,TikTok,2026-01-25
duhhh #figma #figmadesign #uiux #frontend #softwareengineer,duhhh #figma #figmadesign #uiux #frontend #softwareengineer,#figma #figmadesign #uiux #frontend #softwareengineer,Tech & Gadget,TikTok,2026-01-25
"Belum paham? sini aku kasih tau 👇👇
-
-
UI/UX Designer:
🎨 Mer","Belum paham? sini aku kasih tau 👇👇
-
-
UI/UX Designer:
🎨 Mereka mikirin tampilannya
🧠 Mereka juga mikirin gimana user ngerasain aplikasi itu
👉 Fokus: desain, user flow, wireframe, prototipe
Hasil akhirnya: desain yang enak dilihat dan gampang dipakai

Front-End Developer:",,Tech & Gadget,TikTok,2026-01-25
#uiux #figma #uiuxdesigner #mobileapp #jasadesainuiux #jokif,#uiux #figma #uiuxdesigner #mobileapp #jasadesainuiux #jokifigma #fypシ #xyzabc #foryou,#uiux #figma #uiuxdesigner #mobileapp #jasadesainuiux #jokifigma #fypシ #xyzabc #foryou,Tech & Gadget,TikTok,2026-01-25
yang penting asal pindah aja 😀 #figma #uiux #prototype #desi,yang penting asal pindah aja 😀 #figma #uiux #prototype #design #CapCut,#figma #uiux #prototype #design #capcut,Tech & Gadget,TikTok,2026-01-25
"New Project 👾💸
#figmadesign #app #apps #designapp #designtok","New Project 👾💸
#figmadesign #app #apps #designapp #designtok #design #projectdesign #uiuxdesigner #uiuxdesign #uiux #tecktok #fyp #liquidglassfigma #bankapp #appbank #designbank #techtok #tech #tektok",#figmadesign #app #apps #designapp #designtok #design #projectdesign #uiuxdesigner #uiuxdesign #uiux #tecktok #fyp #liquidglassfigma #bankapp #appbank #designbank #techtok #tech #tektok,Tech & Gadget,TikTok,2026-01-25
"💻Landing Page Exploration - Yg butuh desain UI, bisa hub con","💻Landing Page Exploration - Yg butuh desain UI, bisa hub contact di Bio ya #fyp #jasauiux #uiux #jasadesign #foryou",#fyp #jasauiux #uiux #jasadesign #foryou,Tech & Gadget,TikTok,2026-01-25
sdh berusaha semaksimal mungkin pake component dan var tetep,"sdh berusaha semaksimal mungkin pake component dan var tetep begini

#figma #uiuxdesigner #prototype #designer #uiux",#figma #uiuxdesigner #prototype #designer #uiux,Tech & Gadget,TikTok,2026-01-25
"Another level of UI & UX design
😎🔝
what do you think 🤔💫

#we","Another level of UI & UX design
😎🔝
what do you think 🤔💫

#websites #uiux #figmadesign #figma #uiuxdesign #uxuidesigner #landingpage",#websites #uiux #figmadesign #figma #uiuxdesign #uxuidesigner #landingpage,Tech & Gadget,TikTok,2026-01-25
2 UI/UX designs made by us #uiux #webdesign #fyp #design #we,2 UI/UX designs made by us #uiux #webdesign #fyp #design #webdeveloper,#uiux #webdesign #fyp #design #webdeveloper,Tech & Gadget,TikTok,2026-01-25
"A website prototype built with clean UI, smooth UX, and subt","A website prototype built with clean UI, smooth UX, and subtle animations that enhance interaction and flow 💻🧠🎞️
Every motion is intentional — creating a more engaging, modern user experience ✨
Do you think these elements elevate the overall design? 👇
#ui",#ui,Tech & Gadget,TikTok,2026-01-25
"design apps foodgo🍔
#figma #prototype #uiux #uidesign #uxdes","design apps foodgo🍔
#figma #prototype #uiux #uidesign #uxdesign #app #food",#figma #prototype #uiux #uidesign #uxdesign #app #food,Tech & Gadget,TikTok,2026-01-25
Every UI/UX gf need Product Designer bf 🥲☝️ #uiuxdesigner #u,Every UI/UX gf need Product Designer bf 🥲☝️ #uiuxdesigner #uiux #fyp #ui #learnuiux #figma,#uiuxdesigner #uiux #fyp #ui #learnuiux #figma,Tech & Gadget,TikTok,2026-01-25
Siapa nih yang suka prototyping? 😭 #fyp #foryou #meme #memei,Siapa nih yang suka prototyping? 😭 #fyp #foryou #meme #memeindonesia #prototype #uidesign #figma #uiux,#fyp #foryou #meme #memeindonesia #prototype #uidesign #figma #uiux,Tech & Gadget,TikTok,2026-01-25
"#stitch with
@WENDY AYU VIRAL!!! MBAK WENDY INI KATANYA MEMA","#stitch with
@WENDY AYU VIRAL!!! MBAK WENDY INI KATANYA MEMALSUKAN PEKERJAANYA DIBIDANG UI/UX DESIGNER!? GIMANA PENDAPAT KALIAN?

@Si Paling HRD ##uiux",#stitch #uiux,Tech & Gadget,TikTok,2026-01-25
#gamingontiktok #filtergames #happynes,#gamingontiktok #filtergames #happynes,#gamingontiktok #filtergames #happynes,Game,TikTok,2026-01-25
This is soothing 😳 @ㅤㅤ #gamer #gaming #gamingmemes #funnygam,This is soothing 😳 @ㅤㅤ #gamer #gaming #gamingmemes #funnygamermoments #gamelancer #gamingmoments #assetocorsa,#gamer #gaming #gamingmemes #funnygamermoments #gamelancer #gamingmoments #assetocorsa,Game,TikTok,2026-01-25
"hapus download lagi, hapus download lagi🤭 #xiaomipad6spro #a","hapus download lagi, hapus download lagi🤭 #xiaomipad6spro #androidgame #game #games #rekomendasigame",#xiaomipad6spro #androidgame #game #games #rekomendasigame,Game,TikTok,2026-01-25
rekomendasi plugin untuk kalian di game theotown #theotownin,rekomendasi plugin untuk kalian di game theotown #theotownindonesia #theotown #theotownindo #theotowntutorial #fyp,#theotownindonesia #theotown #theotownindo #theotowntutorial #fyp,Game,TikTok,2026-01-25
The recovery 😭 @balencisbattles #gamer #gaming #gamingmemes ,The recovery 😭 @balencisbattles #gamer #gaming #gamingmemes #funnygamermoments #gamelancer #gamingmoments #fortnite #fortniteclips,#gamer #gaming #gamingmemes #funnygamermoments #gamelancer #gamingmoments #fortnite #fortniteclips,Game,TikTok,2026-01-25
#game #race #drive #mobilegame #bestgame #driftcar #viral,#game #race #drive #mobilegame #bestgame #driftcar #viral,#game #race #drive #mobilegame #bestgame #driftcar #viral,Game,TikTok,2026-01-25
Dyrroth New Naraka Flame Lifesteal Hack🤯#dyrroth #mlbb #inga,Dyrroth New Naraka Flame Lifesteal Hack🤯#dyrroth #mlbb #ingame #narakaflamedyrroth #mobilelegends,#dyrroth #mlbb #ingame #narakaflamedyrroth #mobilelegends,Game,TikTok,2026-01-25
"jika kamu stress cobalah game stardew valley kawan...
.
#fyp","jika kamu stress cobalah game stardew valley kawan...
.
#fyp #gaming #chill #santai #game #gaming #stress #meme",#fyp #gaming #chill #santai #game #gaming #stress #meme,Game,TikTok,2026-01-25
sorry semuanya #game #fyp,sorry semuanya #game #fyp,#game #fyp,Game,TikTok,2026-01-25
"game offroad yang seru dan cocok untuk dicoba ditahun 2024, ","game offroad yang seru dan cocok untuk dicoba ditahun 2024, kualitas hd dan main di wc bukan hp, rekomendasi banget game offroad mudrunner ini #toyitahilux #rusian #gameoffroad #truck #gamer #fypシ #viral #gameoffroadtruck #JelajahJakarta",#toyitahilux #rusian #gameoffroad #truck #gamer #fypシ #viral #gameoffroadtruck #jelajahjakarta,Game,TikTok,2026-01-25
FNF in Real Life #fnf #game #fridaynightfunkin,FNF in Real Life #fnf #game #fridaynightfunkin,#fnf #game #fridaynightfunkin,Game,TikTok,2026-01-25
Serujuga trnyata #filterchallenge #gametiktok #tiktokgame,Serujuga trnyata #filterchallenge #gametiktok #tiktokgame,#filterchallenge #gametiktok #tiktokgame,Game,TikTok,2026-01-25
"last, tq all.. #fyp #gameplayfreefire #4u #masukberandafyp #","last, tq all.. #fyp #gameplayfreefire #4u #masukberandafyp #fyppppppppppppppppppppppp",#fyp #gameplayfreefire #4u #masukberandafyp #fyppppppppppppppppppppppp,Game,TikTok,2026-01-25
Day 1 main epep #freefire #raizoff #4yourpage #fyp #pepengsh,Day 1 main epep #freefire #raizoff #4yourpage #fyp #pepengshot,#freefire #raizoff #4yourpage #fyp #pepengshot,Game,TikTok,2026-01-25
Menit awal main demonya Troublemaker aka Parakacuk #troublem,Menit awal main demonya Troublemaker aka Parakacuk #troublemaker #parakacuk #gamecomteam #gameindo,#troublemaker #parakacuk #gamecomteam #gameindo,Game,TikTok,2026-01-25
Anjir susah 😩🥶#gametiktok,Anjir susah 😩🥶#gametiktok,#gametiktok,Game,TikTok,2026-01-25
